Account,Allocation,BAL (raw),vlCVX (raw),Voting power (raw),BAL (rescaled),vlCVX (rescaled),Voting power (rescaled),Vote
0x71506af8e1bc762b4a7745665595ca07548a944d,85335797315128599855268,123541811625793838175014,0,155005919255042856093496,7096836827854307557573,0,78238960487274292297695,N
0xfe73b5a595405bac396c329c674571a7a3db528c,63688620750405967555707,62173229035630080034025,0,78007748059863064554520,4240400854971096123336,0,59448219895434871432371,N
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,44079019165032586442976,24909157338936630026183,0,32617905667351558804512,2135372388033392326179,0,41943646776999194116797,N
0xe943f3f703faaf5da5c150c170cd40dd1146232b,38132603461879054975725,13574101432434639718849,0,23483765558357841655379,1354371054079977056972,0,36778232407799077918753,N
0x8a8743afc23769d5b27fb22af510da3147bb9a55,33747791058510887135216,987919007093336900000000,0,0,33747791058510887135216,0,0,-
0xaac0aa431c237c2c0b5f041c8e59b3f1a43ac78f,33597498280871164638022,0,3210495312985330820083618,0,0,33597498280871164638022,0,-
0x6ced6e97baab4f441d6342e0e9257e09f1aaff35,31489066462324121403072,11522626415904653185862,0,14457253586180957427132,1197754901846110897168,0,30291311560478010505904,N
0x849d52316331967b6ff1198e5e32a0eb168d039d,29425387149934613262303,822919056983607809605598,0,0,29425387149934613262303,0,0,-
0xceacc82ddcdb00bfe19a9d3458db3e6b8aef542b,26858448449430721666431,728621697937570200000000,0,0,26858448449430721666431,0,0,-
0x567d220b0169836cbf351df70a9c517096ec9de7,26016337437844849887370,4551511908290119208687,0,9326316823488905356498,596789410360041188142,0,25419548027484808699228,Y
0xb1748c79709f4ba2dd82834b8c82d4a505003f27,24433935476193972135661,0,2099684376036188099533319,0,0,24433935476193972135661,0,-
0xa6f5f84a1109b50b9aa2449a69b4f3fc0d5380dc,23593503098452925996753,5716820855105191185430,0,7172802955317780288169,708060362592445244445,0,22885442735860480752308,N
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,21177306022395285253879,530748149807662710204053,0,0,21177306022395285253879,0,0,-
0xb3df5271b92e9fd2fed137253bb4611285923f16,18672070422233387944289,0,1466963884273189352825284,0,0,18672070422233387944289,0,-
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,18552743745232612127438,0,1454477412151650059968233,0,0,18552743745232612127438,0,-
0xbec5e1ad5422e52821735b59b39dc03810aae682,16876879122418104088865,0,1281992957700915168970823,0,0,16876879122418104088865,0,-
