Account,Allocation,Total BAL,Total vlCVX,Total voting power,Vote
0xd316452072647e50927996a6822612775606e195,24989816910150640439,0,6672657426027849000000,0,-
0xe45da29a0402b351721036c89a51e3f2264af126,24930923002948073730,3537366410647744814849935130,0,0,-
0x9bc9e3ae225a91ff907e4ab76349fad5a0d3a7eb,24910013171655990050,3535388249416122274365045229,0,0,-
0xea7d294ae3b33f873d711d1e7394bcc1caca660e,24873617172367225692,0,6651956642692637000000,0,-
0x58c0c064a89138bf3216c20f4e4827ec0fe78e87,24801210675297863162,0,6639041248448522000000,0,-
0x0dde2e438d72e54c8d2e81f1bf51f42646e6c467,24730506565474005498,0,6626417380350593000000,0,-
0x13dd4c65252274a442428039ae815f3a13e84ff3,24691148069406963828,0,6619384904105120000000,0,-
0x727c062d0f33bf31af1589fb10661cc6fb444a8c,24628160537043303435,0,6608122671162423000000,0,-
0xa17973f25a4a84d036cecb76c26a22d0dfa85e77,24571502766186782196,3503286225645473882725440748,0,0,-
0x42e61987a5cba002880b3cc5c800952a5804a1c5,24521232217066089021,0,6588981770812824000000,0,-
0x2f45724d7e384b38d5c97206e78470544304887f,24241487620669289527,0,6538773456175916000000,0,-
0xc4cc95844a699a4bac94f24dba3750259805d2fb,24148805378528205523,0,6522096398997641000000,0,-
0x54fc77a98acb26e98dba4ce18240d0474c16980b,24135293528920449546,0,6519663323340137000000,0,-
0x2d61e2147e2d279dffab5811c6b63ae458a18c7a,24119139221151506547,0,6516753824845251000000,0,-
0x4241ed4f7ea8fae6301765306c8c2f8c5fbf527d,24110377488314735928,3459317968533962572068284840,0,0,-
0x542370f56cc324aa95f8910b00bae974137c6173,24080523496964367780,0,6509796241936808000000,0,-
0x3673a15cf5566d422c15592a04944d91cd75409b,24043608801600914404,0,6503141663897672000000,0,-
0xe850c7b2f68738415f05486bf4e17a8c20eff14e,23907326243014768608,3439868294872629904039349718,0,0,-
0x1d3d543ff89b6e7431ecdd1c456e3e446356105e,23824849204264292979,3431952352417038164731504872,0,0,-
0xda106baeecefd4c94f7d7d11a4f8be492e5d265b,23482772677508361170,0,6401617116643580000000,0,-
0xbb6777ddb6497f80296535f0a7c409981fdc5769,23481150382784086617,3398866102279304605787641522,0,0,-
0x97389c19ff30369a8daaef2298afc2947b4ad362,23463680469666485351,0,6398146840120836000000,0,-
0x384e4f18580910b83fb7632f0938344a2c7964c8,23409234074639453382,0,6388245270645886000000,0,-
0xab21b5e8197e4bb323caea31f25171a50e94cf36,23397629054503852331,0,6386133800687287000000,0,-
0x8b1ca84c014c8483a3a38ff9d696a5a4bf53d964,23388755596247445823,0,6384519087960992000000,0,-
0xedd43ec3def840d0ae9473089c2418166464d323,23364616970022851206,3387611406487928508846945283,0,0,-
