Account,Allocation,BAL,vlCVX,Voting power,Vote
0x8a8743afc23769d5b27fb22af510da3147bb9a55,43780368435084846339620,1095595962739736773073673,0,0,-
0x849d52316331967b6ff1198e5e32a0eb168d039d,35186796148643428750802,805357842371288337744772,0,0,-
0xceacc82ddcdb00bfe19a9d3458db3e6b8aef542b,32772087269695679424331,728621697937570163048804,0,0,-
0x701a1824e5574b0b6b1c8da808b184a7ab7a2867,18338330549829646770377,321639423295896209310740,0,0,-
0x0845989a8a6da24874b37b7c610b2d6fc524c067,17453547104575005505467,300000000000000000000000,0,0,-
0x53a87b98e38cf1fe906422e624c6954421391f44,17453547104575005505467,300000000000000000000000,0,0,-
0x4a49985b14bd0ce42c25efde5d8c379a48ab02f3,15451613246336339216214,252697128297014685813338,0,0,-
0x74c3646adad7e196102d1fe35267adfd401a568b,14056535481911940223654,221166461637143976986408,0,0,-
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,14007714919617092164117,220085333833530356059782,0,0,-
0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,13617754785099354194244,211505167766064027091488,0,0,-
0x1c8bcb6348c84122e67a50e513a1e183c0e6929a,13470096626408410884324,208282246299029502552003,0,0,-
0x438fd34eab0e80814a231a983d8bfaf507ae16d4,13418123785910283913836,207151260804740915773436,0,0,-
0xbb19053e031d9b2b364351b21a8ed3568b21399b,12543487097421200815006,188389758726350231881952,0,0,-
0x91b9e59614995e13a32e36440ac524825f7ae39e,12087283057448268664302,178811682050925417570397,0,0,-
0xdd2fb90869fef74bb728d201240ceb3d28d92b6b,11771026054108988319058,172257628506277076667175,0,0,-
0xc9cdf35e2cf93df9e5313a979e54ba8887a4041e,11771026054108988319058,172257628506277076667175,0,0,-
0x4281e53938c3b1c1d3e8afd21c02ce8512cdbc93,11507770520063962976565,166856478004447682906175,0,0,-
0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0,10445340747182723134756,145576592606178513960913,0,0,-
0xca3cd338242f2bb6101ce6219ae1654def1c3537,9374189332696627388941,125000000000000000000000,0,0,-
