Account,Allocation,BAL,vlCVX,Voting power,Vote
0xaac0aa431c237c2c0b5f041c8e59b3f1a43ac78f,48622827862234534457280,0,3645740818672352004796267,0,-
0xb1748c79709f4ba2dd82834b8c82d4a505003f27,31902209346876126801362,0,2194221296578900888562202,0,-
0xbec5e1ad5422e52821735b59b39dc03810aae682,27680749448743979883147,0,1849319087032030569389462,0,-
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,25718442247162376588676,0,1692536862205047858878970,0,-
0xb3df5271b92e9fd2fed137253bb4611285923f16,24353980848082352167694,0,1584945748649497982114553,0,-
0x355d72fb52ad4591b2066e43e89a7a38cf5cb341,18262486897540409700014,0,1120469119817247847095132,0,-
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,17507857412378103617812,0,1064925605978579260408878,0,-
0x597f540bb63381ffa267027d2d479984825057a8,17307845549433965061326,0,1050285170766539871692657,0,-
0x9c5083dd4838e120dbeac44c052179692aa5dac5,16617206164962655748241,0,1000000002647663932293653,0,-
0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,16617206128445428475970,0,1000000000000006984919310,0,-
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,16096290410230403722380,0,962353630495767458342016,0,-
0x0d5dc686d0a2abbfdafdfb4d0533e886517d4e83,13789711388923478807556,0,798741461206396226771176,0,-
0x1e1300eeaf333c572e4fc0133614291fa9d0df8b,10315948148264162227861,0,563045570623101084493101,0,-
0xe001452bec9e7ac34ca4ecac56e7e95ed9c9aa3b,9646717863051104359329,0,519335098179051361512393,0,-
0xa51b1bc907fe0a6bc6538c5c56472c1d9c60de23,8344815320396775859990,0,436102747131425829138607,0,-
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,8205608432273951621028,0,427352731288688199128956,0,-
0x9538d438d506fc426db37fb83dac2a0752a02757,8105618741354348458117,0,421086466176384186837822,0,-
0x9a67f1940164d0318612b497e8e6038f902a00a4,7326511888173068655306,0,372814739468489482533187,0,-
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,6117391120393207529560,0,299998002439002564642578,0,-
0xf3d9b8f6af674e82943b4685728b00d13a62fc9e,5831784028945978207048,0,283204736261756217572838,0,-
