Account,Allocation
0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,49976404544033714664419
0xaac0aa431c237c2c0b5f041c8e59b3f1a43ac78f,33506849383911890434692
0x849d52316331967b6ff1198e5e32a0eb168d039d,32232596927352643021437
0xff052381092420b7f24cc97fded9c0c17b2cbbb9,30960246355507861153455
0xb1748c79709f4ba2dd82834b8c82d4a505003f27,24280535522958274668781
0xceacc82ddcdb00bfe19a9d3458db3e6b8aef542b,23956920208221701614093
0xc44902c03093d52213d20e5b06a0bda4d9ce6524,23438420626218725374201
0xb3df5271b92e9fd2fed137253bb4611285923f16,20469371403384466248099
0x4281e53938c3b1c1d3e8afd21c02ce8512cdbc93,19707912044668497401290
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,19007533887422945554135
0xe8d4d93d9728bd673b0197673a230f62255c7846,14462251253489388545859
0xc0a893145ad461af44241a7db5bb99b8998e7d2c,13630702803359397876193
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,13210711095801903866231
0x014e61311e4dd2364cf6c0868c9978c5887deca8,13156427658400818472728
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,12862167299171282138559
0x597f540bb63381ffa267027d2d479984825057a8,12729317738575471594231
0x0845989a8a6da24874b37b7c610b2d6fc524c067,12313892342432405712316
0x53a87b98e38cf1fe906422e624c6954421391f44,12313892342432405712316
0x9c5083dd4838e120dbeac44c052179692aa5dac5,12269438914928130543558
0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,12269438890564180837828
0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0,11941662001781247454346
0x8ca24021e3ee3b5c241bbfcee0712554d7dc38a1,11836251921909022712498
0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,11645822217750814161263
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,11560518080324956827099
0x71506af8e1bc762b4a7745665595ca07548a944d,11477615258358368009795
0x8a8743afc23769d5b27fb22af510da3147bb9a55,11432033132545750049758
0xe7a76d8513e55578c80e4b26fc61ee7d4906d4cd,11173848538078571436927
0x242d7cd78cce454946f35f0a263b54fbe228852c,11140569280344441722264
0x245cc372c84b3645bf0ffe6538620b04a217988b,10937746464800533431116
0xc407e861f5a16256534b0c92fdd8220a35831840,10837293686006001735223
0xc4eac760c2c631ee0b064e39888b89158ff808b2,10663067836506306775846
0xbb19053e031d9b2b364351b21a8ed3568b21399b,10470731454524737273459
0x0d5dc686d0a2abbfdafdfb4d0533e886517d4e83,10366433671324466558872
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,10142108950762587483041
0x74c3646adad7e196102d1fe35267adfd401a568b,9797017046304939867696
0x272f97b7a56a387ae942350bbc7df5700f8a4576,9778429566604239880689
0x1c8bcb6348c84122e67a50e513a1e183c0e6929a,9365772426996190915816
0x438fd34eab0e80814a231a983d8bfaf507ae16d4,9327603935537443248904
0x49a2dcc237a65cc1f412ed47e0594602f6141936,8988640341309093855671
0x1e1300eeaf333c572e4fc0133614291fa9d0df8b,8853932399128898396157
0x91b9e59614995e13a32e36440ac524825f7ae39e,8353170146775200919365
0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d,8314349872445813161903
0x984822e8ee521cb9171789c5e88d9f0fd6f867b0,8309749859208925045095
0x64ca35bef43e3358d91001e3fb98ad04fbaef864,8134256041610946340370
0x068ff98072d3eb848d012e3390703bb507729ed6,8020081882103302632459
0xe001452bec9e7ac34ca4ecac56e7e95ed9c9aa3b,7934989535551468179619
0xe943f3f703faaf5da5c150c170cd40dd1146232b,7826712421268982325273
0xae0baf66e8f5bb87a6fd54066e469cdfe93212ec,7782632019647913693916
0x9538d438d506fc426db37fb83dac2a0752a02757,7170800567487555781554
0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0,7159341418532550960663
0x2ceb5d4d3c325485d4d977c929504954ee92f194,7039423681164356821682
0x48d93dabf29aa5d86424a90ee60f419f1837649f,7006573005711540645279
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,6768344785977798892418
0x4f76ff660dc5e37b098de28e6ec32978e4b5beb6,6661692332114901546447
0xa51b1bc907fe0a6bc6538c5c56472c1d9c60de23,6584401705277971814212
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,6486417212654052491416
0xca3cd338242f2bb6101ce6219ae1654def1c3537,6386117736229793081293
0xf8c98cefa0eb07815085ee629ceba37f3dedd47a,6386117736229793081293
0xcd42a6427df188ccca1f995b229d990278bffc0d,6386117736229793081293
0x3f182ba493f8dc5cf6f713c41f9a2cc96062ed1d,6237383709247975275503
0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,6069316727373095091025
0x24faf482304ed21f82c86ed5feb0ea313231a808,5983824059810795915837
0x3c221e16a342a5ec114f7259a37ef42b0597c251,5890879226597196975490
0x9a67f1940164d0318612b497e8e6038f902a00a4,5853889327684557429166
0xcb3593c7c0dfe13129ff2b6add9ba402f76c797e,5811991854881618564832
0xda6b2a5e0c56542984d84a710f90eefd94ca1991,5779329573842016543495
0xbdc1340bedeb6a65d96f2cb319028208f35da8c8,5606145673283494943462
0x9b71dbccd9ffb858899ef3244b09a5354b16048e,5401997903389993552992
0x6aee9dc09702dffab334f3f8e6f3f97c0e7261f4,5401997903389993552992
0xb3663692e6e3298ed8d03700f1c5298ebb47a003,5401997903389993552992
0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3,5401997903389993552992
0xd519d5704b41511951c8cf9f65fee9ab9bef2611,5401997903389993552992
0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc,5401997903389993552992
0x54e2c802ffc9b6a6e796ad831055146bc31276cd,5358503572636466742551
0xaeddeeb74a18510a7ce945e88f037e7b37aa5587,5203459387489563596318
0x1a249e361f9e6f9b9de4bb528a72e6a1f8345241,5145778859259472483245
0x9d3a2657b4676349b2dd614247e5dd4b33fe303a,5030361919438554650696
0x96958d02ff299d9843e9c850332fb2d7d8481e62,4973540318497704902256
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,4973515481101632758509
0x77693ff03fd85f9181e5e577b8cabfddac00880a,4915697763070287635401
0xf3d9b8f6af674e82943b4685728b00d13a62fc9e,4891931094676200700633
0x575daf04615aef7272b388e3d7fac8adf1974173,4842377508122845938487
0x29c7b44e0584624c1e877d3ee0856520e2851ba6,4821233283204534700417
0xf694197103dfb3e2d1a21effb72f945710fbefc9,4820001812750276258157
0xbb232089be659a0f6b35c8df67d10c2267e9fc3b,4799283686263007439265
0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,4778761027233953427640
0xbc280becab2bf6ddc0c126e9179d27bb0ebe52a3,4762433448076666536508
0x51c2cef9efa48e08557a361b52db34061c025a1b,4607974750222181683057
0x7e4b4dc22111b84594d9b7707a8dcffd793d477a,4572125483406189232483
0xfe73b5a595405bac396c329c674571a7a3db528c,4563006311294449915295
0xb4982f934db398cd4e1f24a581ebdf5df9ba4069,4537078416241253961516
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,4515889456485216214787
0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,4504289000856493657921
0xdff2aea378e41632e45306a6de26a7e0fd93ab07,4462201464711736662139
0xaba85673458b876c911ccff5e3711bcedb3b4f56,4338586551522510490031
0x04f806b3a5d670901a19879a626e0e025b7991f3,4157951597613001467835
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,4126779752288350209710
0x7a16ff8270133f063aab6c9977183d9e72835428,4109707143806125714036
0x6ced6e97baab4f441d6342e0e9257e09f1aaff35,4098400679677311927662
0xc75159987ab5bba7df82684aad12af3123a5f667,4060283038538320397492
0x4a65e76be1b4e8dd6ef618277fa55200e3f8f20a,4059069258483878911647
0xe81b85cd6903deccfea9c4d3fa87d29bf02e5cc0,4051700980866394274926
0xb5ff60f970eff7311a94de05e38a183f8fe1e781,4032380282180509311729
0x9fd31424cfceab50218906bc1b3d87fe7778ca61,3976133116715343305714
0x70fce97d671e81080ca3ab4cc7a59aac2e117137,3910519342904040513531
0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,3857587505571701512963
0x58c0a5f11469ea49ad1bf0ad0d25a5cae582dd0a,3851737697116458548408
0x6db65261a4fc3f88e60b7470e9b38db0b22e785c,3849284808283463917178
0x967159c42568a54d11a4761fc86a6089ed42b7ba,3847437818257789331255
0x788c0d59aee802ee615b3db138215862247f5960,3834280762857029912993
0xe2c8f362154aace6144cb9d96f45b9568e0ea721,3830865580214056080877
0x3744da57184575064838bbc87a0fc791f5e39ea2,3783882306454321224010
0x6aed19abab347eb07a2c8b264fc5c4c1b002210b,3777064203405182524875
0xfacf46ea1e0ad2681103e726f64cfc503e9da5d6,3682676747707153481315
0x8180d59b7175d4064bdfa8138a58e9babffda44a,3674810485915209937957
0x5ed64f02588c8b75582f2f8efd7a5521e3f897cc,3659806966635649587261
0x92ea9272b0476174b19a0e0499ff40e24c5ca895,3606592774649202965520
0x10aa978d5fb68dc134a4843756257e67c523a402,3589467578078071255732
0x4ee98b27eef58844e460922ec9da7c05d32f284a,3558214484042175627110
0x58f5f0684c381fcfc203d77b2bba468ebb29b098,3488678196362981452694
0x53572e897bc04a398ab9df869eb5aa7d3f17e248,3480276227169115827564
0x3bfe14b758d1cec88e29c4748c09420b6e4319db,3477288120693745440803
0x3a22107564513d257f79394c3e58eb8a0f54043c,3420632322133506022510
0x0412ed8438b5fae246606909ef8ba365f9103783,3407021415512364001188
0x3505b95dbc8dbd895614f34ee8633ecbbaf35dc6,3394203915031177075434
0xc72aed14386158960d0e93fecb83642e68482e4b,3366945333080229374900
0xf6e2c94a609ca303964b65ec991a1a0d2991b961,3354707582303644812782
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,3349344648774530469381
0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a,3331761372889393896912
0x07c3aa37347c8102a24e5bfb261cf420aa4512fe,3300146543422318245575
0x7c132bde28ad1e0101d45121757d7c6c2e8a550a,3286771247800519176963
0x09f2d2c353507f8cfb49b392ddd0f54405e95846,3272767799333530547301
0xa23f54e0bb57a6114d831c080823f5fe2616cf98,3263934435413728351705
0x649f69ccd077da03dfb11f4b1daab4b625f5e9a3,3257985433125956660660
0xde3258c1c45a557f4924d1e4e3d0a4e5341607ee,3256654629285946157324
0xe5350e927b904fdb4d2af55c566e269bb3df1941,3216460376717716712846
0x0b177b7f10faeadd6eee6d2cc46d783f460566c8,3212047170970580737048
0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15,3212047170970580737048
0xf1f7c71cb81ceba1dc5fd659eeb144301df0dbb4,3212047170970580737048
0xd3238d8be92fd856146f53a8b6582bc88e887559,3212047170970580737048
0xdceacfdc8679cc3223541e840a38627e8d2d9fed,3212047170970580737048
0xf96cd1cf416b50b60358a17bc8593060148de422,3212047170970580737048
0xfaad21203a7856889cb6eb644ab6864e7253107a,3135037698917331454140
0x1cbad69d9cc22962a0a885921518c06ed2f04ffd,3108703648305944170716
0x67068f70088f214c0ca03a3934d384a0308da355,3097386192797410785715
0x21b7641470b6d78a24310ffd785bbff7361c6b28,3089204302960836685088
0x23cfd83dd1dc4944721d495dcf1a108cda8800de,3071663601552032559994
0x0b5a6a15b975fd35f0b301748c8dabd35b50d8c5,3062866073553050227929
0xf9a2fa22cb7df26e3a10622c696f37fc345c6239,3039510391484979663801
